icao,airline,callsign
VGF,"Aerovista Gulf Express","VISTA GULF"
VER,"Almaver","ALMAVER"
AOR,"Afro International Ent. Limited","INTER-AFRO"
SMX,"Alitalia Express","ALIEXPRESS"
AOT,"Asia Overnight Express","ASIA OVERNIGHT"
AOV,"Aero Vision","AEROVISION"
AOX,"Aerotaxi Del Valle","AEROVALLE"
APC,"Airpac Airlines, Inc.","AIRPAC"
SVM,"Aeroservicios Monterrey","SERVIMONTE"
APF,"Amapola Flyg AB","AMAPOLA"
APH,"Alpha Aviation, Inc.","AIRFLIGHT"
API,"ASA Pesada, Lda.","ASA PESADA"
APJ,"Peach Aviation","AIR PEACH"
PET,"Aerotransporte Petrolero","AEROPETRO"
ARF,"Aero Flight","Aero Fox"
BKL,"Aircompany Barcol","BARCOL"
BLA,"All Charter Limited","ALL CHARTER"
APL,"Appalachian Flying Service, Inc.","APPALACHIAN"
APM,"Airpac, Inc.","ALASKA PACIFIC"
APO,"Aeropro","AEROPRO"
APP,"AlpAvia d.o.o.","ALPAVIA"
APQ,"Aspen Aviation","ASPEN BASE"
APU,"Aeropuma, S.A.","AEROPUMA"
APW,"Arrow Air","BIG A"
APX,"Apex Air Cargo","PARCEL EXPRESS"
APY,"APA Internacional","APA INTERNACIONAL"
AQA,"Aeroatlas, S.A.","ATCO"
AQL,"Aquila Air Ltd.","AQUILA"
AQO,"Aluminum Company Of America","ALCOA SHUTTLE"
AQT,"Avioquintana","AVIOQUINTANA"
AQU,"AirQuarius Aviation","QUARIUS"
AQZ,"Aerodyne Charter Company","QUANZA"
ARA,"Arik Air","ARIK AIR"
ARB,"Avia Air N.V.","AVIAIR"
AWT,"Albawings","ALBAWINGS"
ARE,"Aires, Aerovías de Integración Regional, S.A.","AIRES"
ARG,"Aerolíneas Argentinas","ARGENTINA"
ARH,"Arrowhead Airways","ARROWHEAD"
ARI,"Aero Vics","AEROVICS"
SUN,"Antillana De Navegación Aérea",""
SUO,"Aeroservicios De San Luis","SERVICIO SANLUIS"
SUP,"Aerosuper","AEROSUPER"
ARK,"Aero Link Air Services S.L.","LINK SERVICE"
ARL,"Airlec - Air Aquitaine Transport","AIRLEC"
ARM,"Aeromarket Express","AMEX"
ARO,"Arrow Aviation Ltd.","ARROW"
KLD,"Air Klaipėda","AIR KLAIPEDA"
ARQ,"Armstrong Air, Inc.","ARMSTRONG"
ARS,"Aeromet Servicios","METSERVICE"
ART,"Aerotal Aerolíneas Territoriales de Colombia Ltda.","AEROTAL"
ARV,"Aravco Ltd.","ARAVCO"
ARW,"Aria","ARIABIRD"
OST,"Airline Alania","ALANIA"
HUC,"Aerolíneas de Techuacán","LINEAS TEHUACAN"
HUT,"Aerotransportes Huitzilin","AEROHUITZILIN"
HUY,"Aero Transportes Del Humaya","AERO HUMAYA"
ARY,"Argosy Airways","GOSEY"
ASA,"Alaska Airlines, Inc.","ALASKA"
ASE,"Airstars","MOROZOV"
ASF,"Air Schefferville, Inc.","SCHEFF"
ASG,"African Star Airways (PTY) Ltd.","AFRICAN STAR"
ASI,"Aerosun International, Inc.","AEROSUN"
ASM,"Awesome Flight Services (PTY) Ltd.","AWESOME"
ASO,"Aero Slovakia","AERO NITRA"
ASP,"Airsprint","AIRSPRINT"
ASR,"All Star Airlines, Inc.","ALL STAR"
AST,"Aerolíneas Del Oeste","AEROESTE"
WAP,"Arrow Panama","ARROW PANAMA"
ASV,"Astravia-Bissau Air Transports Ltd.","ASTRAVIA"
ASZ,"Astrakhan Airlines","AIR ASTRAKHAN"
ATB,"Atlantair Ltd.","STARLITE"
ATD,"Aerotours Dominicana","AEROTOURS"
ATE,"Atlantis Transportation Services, Ltd.","ATLANTIS CANADA"
ATG,"Aerotranscargo","MOLDCARGO"
ATI,"Aero-Tropics Air Services","AEROTROPICS"
ATK,"AeroTACA","AEROTACA"
ATL,"Atlas Air Service AG","AIR BREMEN"
ATM,"Par Avion","AIRTAS"
CPV,"Air Corporate","AIRCORPORATE"
ATP,"ASTRAL Colombia - Aerotransportes Especiales Ltda.","ASTRAL"
FEO,"Aeroferinco","FERINCO"
FES,"Aero Taxis Y Servicios Alfe","AERO ALFE"
FFA,"Avialesookhrana","AVIALESOOKHRANA"
FFB,"Africair Service","FOXTROT FOXTROT"
ATR,"Atlas Airlines","ATLAS-AIR"
ATT,"Aer Turas","AERTURAS"
ATU,"Atlant Aerobatics Ltd.","ATLANT HUNGARY"
ATV,"Avanti Air","AVANTI AIR"
ATW,"Aero Trades (Western) Ltd.","AERO TRADES"
AUA,"Austrian Airlines","AUSTRIAN"
AUB,"Augsburg Airways","AUGSBURG-AIR"
TUP,"Aviastar-Tu","TUPOLEVAIR"
ABW,"AirBridge Cargo","AIRBRIDGE CARGO"
TUR,"ATUR",""
TXU,"ATESA Aerotaxis Ecuatorianos","ATESA"
TXX,"Austin Express","COWBOY"
AUD,"Audi Air, Inc.","AUDI AIR"
AUF,"Augusta Air Luftfahrtunternehmen","AUGUSTA"
AUM,"Air Atlantic Uruguay","ATLAMUR"
AUN,"Aviones Unidos","AVIONES UNIDOS"
AUP,"Avia Business Group",""
SVE,"Aero Servicios Expecializados","AEROESPECIAL"
AUR,"Aurigny Air Services","AYLINE"
AUS,"Aus-Air","AUS-AIR"
AUT,"Austral Líneas Aéreas","AUSTRAL"
AUU,"Aurora Aviation, Inc.","AURORA AIR"
AUY,"Aerolíneas Uruguayas, S.A.","AUSA"
AVF,"Aviair Aviation Ltd.","CARIBOO"
AVH,"AV8 Helicopters","KENT HELI"
AVJ,"Avia Traffic Company","ATOMIC"
AVK,"AV8 Helicopters","AVIATE-COPTER"
AVM,"Aviación Ejecutiva Mexicana, S.A.","AVEMEX"
AVO,"Aviation at Work","AVIATION WORK"
AVP,"Avcorp Registrations","AVCORP"
AVP,"Aviacion Corporativa de Peubla","AVIA PUEBLA"
LFP,"Alfa Aerospace","ALFA-SPACE"
LFR,"Atlantic Airfreight Aviation","LANFREIGHT"
AVS,"Avialsa T-35","AVIALSA"
AVT,"Asia Avia Airlines","ASIAVIA"
AVU,"Avia Sud Aérotaxi","AVIASUD"
AVV,"Airvantage Incorporated","AIRVANTAGE"
AVW,"Aviator Airways","AVIATOR"
AVX,"Aviapaslauga","PASLAUGA"
YRG,"Air Yugoslavia","YUGAIR"
ZAK,"Airlink Zambia",""
ZZM,"Agence Nationale des Aerodromes et de la Meteorologie (ANAM)",""
BGA,"Airbus Transport International","BELUGA"
BGD,"Air Bangladesh","AIR BANGLA"
BGF,"Aviodetachment-28","BULGARIAN"
BGG,"Aero BG","AERO BG"
BHC,"Aerotaxis De La Bahia","BAHIA"
BIV,"Aviaservice","AVIASERVICE"
SZA,"Aerolíneas de El Salvador","AESA"
AVY,"Aerovaradero, S.A.","AEROVARADERO"
AWB,"Airways International, Inc.","AIRNAT"
AWK,"Airwork","AIRWORK"
AWL,"Australian Wetleasing","AUSSIEWORLD"
AWO,"Awood Air Ltd.","AWOOD AIR"
AWR,"Arctic Wings And Rotors Ltd.","ARCTIC WINGS"
ISM,"Auo Airclub AIST-M","STORK"
AWS,"Arab Wings","ARAB WINGS"
AWV,"Airwave Transport, Inc.","AIRWAVE"
AWY,"Aeroway, S.L.","AEROWEE"
AXH,"Aeromexhaga","AEROMEXHAGA"
AXI,"Aeron International Airlines, Inc.","AIR FREIGHTER"
AXK,"African Express Airways","EXPRESS JET"
AXM,"AirAsia","RED CAP"
XAX,"AirAsia X","XANADU"
WAJ,"AirAsia Japan","WING ASIA"
IAD,"AirAsia India","ARIYA"
AXN,"Alexandair","ALEXANDROS"
AXP,"Aeromax","AEROMAX SPAIN"
BNI,"Alberni Airways","ALBERNI"
BNZ,"Aerolíneas Bonanza","AERO BONANZA"
BOC,"Aerobona","AEROBONA"
AXR,"Axel Rent, S.A.","RENTAXEL"
AXS,"Altus Airlines","ALTUS"
AXV,"AVA Airlines","AVA"
AXX,"Avioimpex A.D.p.o.","IMPEX"
AXY,"Axis Airways","AXIS"
AYD,"Aladia Airlines","AIRLINES ALADIA"
AYK,"Aykavia Aircompany",""
AYM,"Airman, S.L.","AIRMAN"
NPT,"West Atlantic UK","NEPTUNE"
GBN,"Atlantic Airlines","ATLANTIC GABON"
BJK,"Atlantic Airlines","BLACKJACK"
HHA,"Atlantic Airlines de Honduras","ATLANTIC HONDURAS"
AYN,"Atlantic Airlines, S.A.","ATLANTIC NICARAGUA"
AYS,"Awsaj Aviation Services",""
AYT,"Ayeet Aviation & Tourism","AYEET"
AYZ,"Atlant-Soyuz Airlines","ATLANT-SOYUZ"
AZA,"Alitalia","ALITALIA"
AZE,"Arcus-Air Logistic","ARCUS AIR"
AZI,"Astra Airlines","ASTRA"
AZK,"Azalhelikopter","AZALHELICOPTER"
AZL,"Africa One","SKY AFRICA"
AZM,"Aerocozumel","AEROCOZUMEL"
AZP,"Arizona Pacific Airways","ARIZONA PACIFIC"
AZS,"Aviacon Zitotrans Air Company","ZITOTRANS"
AZT,"Azimut, S.A.","AZIMUT"
AZV,"Azov Avia Airlines","AZOV AVIA"
MHC,"Aero Jomacha","AERO JOMACHA"
AZY,"Arizona Airways, Inc.","ARIZAIR"
AZZ,"Azza Transport","AZZA TRANSPORT"
NAR,"Air Continental Inc","NIGHT AIR"
NAU,"Antanik-Air","ANTANIK"
NER,"Air Newark","NEWAIR"
NFF,"Aircraft Support and Services",""
OBA,"Aerobanana","AEROBANANA"
OBK,"Amako Airlines","AMAKO AIR"
OCA,"Aserca Airlines","AROSCA"
NFS,"Afrique Cargo Service Senegal",""
NGC,"Angoservice","ANGOSERVICE"
NGE,"Angel Airlines","ANGEL AIR"
NGF,"Angel Flight America","ANGEL FLIGHT"
OUL,"Air Atonabee","CITY EXPRESS"
OVA,"Aero Nova","AERONOVA"
XPE,"Amira Air","EXPERT"
XSS,"Aero Express Intercontinental","INTER EXPRESS"
TLR,"Air Libya Tibesti","AIR LIBYA"
OVC,"Aerovic",""
RVE,"Airventure","AIRVENTURE"
RVI,"Aero Servicios","AERO SERVICIOS"
RVL,"Airvallee","AIR VALLEE"
OVE,"Aeromover","AEROMOVER"
OVI,"Aerovías Ejecutivas","VIAS EJECUTIVAS"
PTD,"Aero Servicio Pity","PITY"
PTE,"Aero Copter","AERO-COP"
PLL,"Air Pal","AIRPAL"
PLM,"Air Pullmantur","PULLMANTUR"
AEH,"Aviaexpress","AVEX"
PSG,"Aviones Para Servirle","SERVIAVIONES"
SLU,"Avio Sluzba","AVIO SLUZBA"
SCU,"Air Scorpio","SCORPIO UNIVERS"
SIP,"Air Spirit","AIR SPIRIT"
BMV,"Alatau Airlines","OLIGA"
GUG,"Aviateca","AVIATECA"
PXX,"Aroostook Aviation","PINE STATE"
PYC,"Aeropycsa","AEROPYCSA"
PVK,"Association of Private Pilots of Kazakhstan","BORIS"
BAS,"Aero Services","AEROSERV"
BBT,"Air Bashkortostan","AGYDAL"
MCY,"Ambulance Air Africa","MERCY"
EGF,"American Eagle Airlines","EAGLE FLIGHT"
PUE,"Aeropuelche","PUELCHE"
PUT,"Aeroput",""
AZI,"Azzurra Air","AZZURRA"
ETC,"African Transport Trading and Investment Company","TRANATTICO"
XCT,"Aero Costa Taxi Aéreo","AEROCOSTAXI"
VRO,"Aerovitro","AEROVITRO"
VRI,"Aerotaxi Villa Rica","VILLARICA"
VEG,"Aerovega","AEROVEGA"
VVG,"Aerovilla","AEROVILLA"
VLR,"Aerolíneas Villaverde","VILLAVERDE"
WIL,"Aero Air","WILLIAMETTE"
VEJ,"Aero Ejecutivos","VENEJECUTIV"
WAB,"Aero Industries Inc","WABASH"
VNG,"Aero Servicios Vanguardia","VANGUARDIA"
VAD,"Aero Taxi Los Valles","VALLES"
VMR,"Aero Vilamoura","AERO VILAMOURA"
VLS,"Aero Virel","VIREL"
XAA,"Aeronautical Radio Inc",""
VUO,"Aerovuelox","AEROVUELOX"
VTM,"Aeronaves TSM","AERONAVES TSM"
VUN,"Air Ivoire","AIRIVOIRE"
BOT,"Air Botswana","BOTSWANA"
XPR,"Air-Rep",""
XLL,"Air Excel","TINGA-TINGA"
VAE,"Air Evans","AIR-EVANS"
WHY,"Air Sorel","AIR SOREL"
WDR,"Air Net Private Charter","WIND RIDER"
XEC,"Air Executive Charter",""
UPA,"Air Foyle","FOYLE"
VTY,"Air Midwest (Nigeria)","VICTORY"
VTA,"Air Tahiti","AIR TAHITI"
URG,"Air Urga","URGA"
VDR,"Air Vardar","VARDAR"
VIM,"Air VIA","CRYSTAL"
WLR,"Air Walser","AIRWALSER"
URA,"Aircompany Rosavia","ROSAVIA"
XLB,"Aircraft Performance Group",""
WLA,"Airwaves Airlink","AIRLIMITED"
XFX,"Airways Corporation of New Zealand","AIRCORP"
WAY,"Airways","GARONNE"
WGS,"Airwings oy","AIRWINGS"
XAK,"Airkenya","SUNEXPRESS"
WPK,"Air-Lift Associates","WOLFPACK"
VAB,"Airtrans Ltd",""
URP,"ARP 410 Airlines","AIR-ARP"
WPR,"Auckland Regional Rescue Helicopter Trust","WESTPAC RESCUE"
URR,"Aurora Airlines","AIR AURORA"
UST,"Austro Aéreo","AUSTRO AEREO"
WLT,"Aviation Partners","WINGLET"
VLV,"Avialift Vladivostok","VLADLIFT"
VME,"Aviación Comercial de América","AVIAMERICA"
VVA,"Aviast Air","IALSI"
WLV,"Aviation North","WOLVERINE"
WTA,"Africa West","WEST TOGO"
VNT,"Avient Air Zambia","AVIENT"
VZR,"Aviazur","IAZUR"
VID,"Aviaprad","AVIAPRAD"
VXG,"Avirex","AVIREX-GABON"
VXX,"Aviaexpress Aircompany","EXPRESSAVIA"
XAM,"AMR Services Corporation","ALLIANCE"
XAO,"Airline Operations Services",""
VAZ,"Airlines 400","REMONT AIR"
VAS,"ATRAN Cargo Airlines","ATRAN"
VAM,"Ameravia","AMERAVIA"
KHV,"Angkor Air","AIR ANGKOR"
VBC,"AVB-2004 Ltd","AIR VICTOR"
XKX,"ASECNA",""
XAT,"AT and T Aviation Division",""
CAJ,"Air Caraibes Atlantique","CAR LINE"
CAO,"Air China Cargo","AIRCHINA FREIGHT"
CBE,"Aerovías Caribe","AEROCARIBE"
CBO,"Aerotaxi del Cabo","TAXI CABO"
CBS,"Air Columbus","AIR COLUMBUS"
CBV,"Aereo Cabo","CABOAEREO"
CCA,"Air China","AIR CHINA"
CDA,"Aerocardal","CARDAL"
CDP,"Aero Condor Peru","CONDOR-PERU"
CDU,"Aerotrans",""
CDV,"Airline Skol","SKOL"
CFF,"Aerofan","AEROFAN"
CFR,"Africa One",""
CFV,"Aero Calafia","CALAFIA"
CGB,"Air Cargo Belize","CARGO BELIZE"
CGV,"Aero Clube Do Algarve","CLUBE ALGARVE"
CGW,"Air Great Wall","CHANGCHENG"
CHJ,"Aircompany Chaika","AIR CHAIKA"
CHR,"Air Charter Services","ZAIRE CHARTER"
CHV,"Air Charter Professionals","CHARTAIR"
CID,"Asia Continental Airlines","ACID"
CIR,"Arctic Circle Air Service","AIR ARCTIC"
CKL,"Aviation Charter Services","CIRCLE CITY"
CLL,"Aerovías Castillo","AEROCASTILLO"
CLP,"Aero Club De Portugal","CLUB PORTUGAL"
CMF,"Air Care Alliance","COMPASSION"
CNE,"Air Toronto","CONNECTOR"
CNH,"Aquila Air","CHENANGO"
CNU,"Air Consul","AIR CONSUL"
CNX,"AllCanada Express","CANEX"
CPF,"Airtechservice","TECHSERVICE"
CRD,"Air Corridor","AIR CORRIDOR"
CRF,"Air Central","AIR CENTRAL"
CRJ,"Air Cruzal","AIR CRUZAL"
CRP,"Aerotransportes Corporativos","AEROTRANSCORP"
CRQ,"Air Creebec","CREE"
CTA,"Aero Charter and Transport","CHAR-TRAN"
CTE,"Air Tenglong","TENGLONG"
CTR,"Aerolíneas Centauro","CENTAURO"
CUO,"Aerocuahonte","CUAHONTE"
CVA,"Air Chathams","CHATHAM"
CWM,"Air Marshall Islands","AIR MARSHALLS"
CWP,"Australian Customs Service","COASTWATCH"
CYL,"Air One Cityliner","CITYLINER"
CYO,"Air Transport","COYOTE"
CYE,"Aerocheyenne","AEROCHEYENNE"
DAH,"Air Algérie","AIR ALGERIE"
DAP,"Aerovías DAP","DAP"
DBA,"Air Alpha","DOUBLE-A"
DBD,"Air Niagara Express","AIR NIAGARA"
DEF,"Aviation Defense Service","TIRPA"
DEG,"Air Service Groningen","DEGGER"
DHL,"Astar Air Cargo","D-H-L"
DHM,"Archer Aviation","ARCHER"
DIC,"Aeromedica","AEROMEDICA"
DIN,"Aerodin","AERODIN"
DJU,"Air Djibouti","AIR DJIB"
DLA,"Air Dolomiti","DOLOMITI"
DLS,"Aero Modelo","AEROMODELO"
DLU,"Aerolíneas del Sur","DEL SUR"
DMC,"Aerodinamica de Monterrey","DINAMICAMONT"
DMI,"Aeroservicios Dinamicos","AERODINAMICO"
DML,"Aerotaxis Dosmil",""
DNA,"Aerodespachos de El Salvador","AERODESPACHOS"
DNC,"Aerodynamics Málaga","FLYINGOLIVE"
DNJ,"Aerodynamics Incorporated","DYNAJET"
DRD,"Air Madrid","ALADA AIR"
DRM,"Airways Flight Training","DARTMOOR"
DRO,"Aeronaves Del Noreste","AERONORESTE"
DRU,"Alrosa Air Company","MIRNY"
DSK,"Aero Algarve","SKYBANNER"
DST,"Aex Air","DESERT"
EAT,"Air – Transport Europe","TRANS EUROPE"
EAY,"Aero Airlines","REVAL"
EBC,"Aero Ejecutivo De Baja California","CALIXJET"
ECE,"Air City","AIRCITY"
ECG,"Aero Ejecutivos RCG","EJECTUIVOS RCG"
ECL,"Aeronáutica Castellana","AERO CASTELLANA"
ECM,"Aerolíneas Comerciales","AERO COMERCIALES"
EDA,"Aerolineas Nacionales Del Ecuador","ANDES"
EET,"Air Este","AESTE"
EFC,"Air Mana","FLIGHT TAXI"
EJP,"Aeroservicios Ejecutivos Corporativos","EJECCORPORATIVOS"
ELG,"Alpi Eagles","ALPI EAGLES"
ALX,"ALPI Jets","ALPIJETS"
END,"Arrendadora y Transportadora Aérea","ARRENDADORA"
ENW,"Aeronaves Del Noroeste","AERONOR"
EOL,"Airailes","EOLE"
EOK,"Aero K","AEROHANKUK"
EOM,"Aero Ermes","AERO ERMES"
EPL,"Aero Transportes Empresariales","EMPRESARIALES"
EPE,"Aero Empresarial","AEROEMPRESARIAL"
EQL,"Air São Tomé and Príncipe","EQUATORIAL"
ERG,"Avianergo","AVIANERGO"
ERI,"Aero Servicios Regiomontanos","ASERGIO"
ERK,"Aerosec","AEROSEC"
ERM,"Aeromaan","EOMAAN"
ESB,"Aereosaba","AEREOSABA"
ESO,"Avitat",""
ESU,"Aerolíneas Ejecutivas Del Sureste","ALESUR"
ESZ,"Aeronáutica La Esperanza","ESPERANZA"
ETE,"Aero Siete","AEROSIETE"
EUK,"Air Atlanta Europe","SNOWBIRD"
EVE,"Air Evex","SUNBEAM"
EVR,"Aeronautical Academy of Europe","DIANA"
EXG,"Air Exchange","EXCHANGE"
FAC,"Atlantic Helicopters","FAROECOPTER"
FAG,"Argentine Air Force","FUAER"
FAJ,"Air Fiji","FIJIAIR"
FAN,"AF-Air International","FANBIRD"
FBW,"Aviation Data Systems",""
FCI,"Air Carriers","FAST CHECK"
FCO,"Aerofrisco","AEROFRISCO"
FCU,"Alfa 4",""
FDA,"Fuji Dream Airlines","FUJI DREAM"
FDS,"African Medical and Research Foundation","FLYDOC"
FGT,"Aero Freight","FREIAERO"
FIC,"Aerosafin","AEROSAFIN"
FIF,"Air Finland","AIR FINLAND"
FII,"Aerodata Flight Inspection","FLIGHT CHECKER"
FIX,"Airfix Aviation","AIRFIX"
FJI,"Fiji Airways","PACIFIC"
FLD,"Air Falcon",""
FLI,"Atlantic Airways","FAROELINE"
FLP,"Aeroclub Flaps","AEROCLUB FLAPS"
FLZ,"Aero Leasing","AIR FLORIDA"
FMT,"Air Fret De Mauritanie",""
FNM,"Avio Nord",""
FNO,"Aeroflota Del Noroeste","RIAZOR"
FNX,"Aero Fenix","AERO FENIX"
FPY,"African Company Airlines","AFRICOMPANY"
FRJ,"Afrijet Airlines","AFRIJET"
FRK,"Afrika Aviation Handlers","AFRIFAST"
FRQ,"Afrique Chart'air","CHARTER AFRIQUE"
FRT,"Aerofreight Airlines",""
FST,"Aeros Limited","FAST TRACK"
FTC,"Air Affaires Tchad","AFFAIRES TCHAD"
FXI,"Air Iceland","FAXI"
GAU,"Aerogaucho","AEROGAUCHO"
GBJ,"Aero Business Charter","GLOBAL JET"
GCF,"Aeronor","AEROCARTO"
GCK,"Aerogem Cargo","AEROGEM"
GFO,"Aerovías del Golfo","AEROVIAS GOLFO"
GGL,"Aeronáutica","GIRA GLOBO"
GGN,"Air Georgian","GEORGIAN"
GHL,"Aviance UK","HANDLING"
GHN,"Air Ghana","AIR GHANA"
GIL,"African International Transport","AFRICAN TRANSPORT"
GIP,"Air Guinee Express","FUTURE EXPRESS"
GIZ,"Africa Airlines","AFRILENS"
GLL,"Air Gemini","TWINS"
GLT,"Aero Charter","GASLIGHT"
GME,"Aguilas Mayas Internacional","MAYAN EAGLES"
GMM,"Aerotaxis Guamuchil","AEROGUAMUCHIL"
GMS,"Aeroservicios Gama","SERVICIOS GAMA"
GNT,"Amber Air","GINTA"
GOA,"Alberta Government","ALBERTA"
GRE,"Air Scotland","GREECE AIRWAYS"
GRG,"Air Georgia","AIR GEORGIA"
GRI,"Air Cargo Center",""
GRO,"Allegro","ALLEGRO"
GRR,"Agroar - Trabalhos Aéreos","AGROAR"
GRX,"Aircompany Grodno","GRODNO"
GSP,"Airlift Alaska","GREEN SPEED"
GSV,"Agrocentr-Avia","AGRAV"
GTC,"Altin Havayolu Tasimaciligi Turizm Ve Ticaret","GOLDEN WINGS"
GTI,"Atlas Air","GIANT"
GTP,"Aerotaxi Grupo Tampico","GRUPOTAMPICO"
GUA,"Aerotaxis de Aguascalientes","AGUASCALIENTES"
GUY,"Air Guyane","GREEN BIRD"
GVI,"Air Victoria Georgia","IRINA"
HAD,"Air d'Ayiti","HAITI AVIA"
HAH,"Air Comores International","AIR COMORES"
HAT,"Air Taxi","TAXI BIRD"
HEI,"Aerohein","AEROHEIN"
HGH,"Atlantic Air Lift","HIGHER"
HID,"Aviación Ejecutiva De Hildago","EJECUTIVA HIDALGO"
HJA,"Air Haiti","AIRHAITI"
HLN,"Air Holland","ORANGE"
HJT,"Al Rais Cargo","AL-RAIS CARGO"
HKH,"Air-Invest","HAWKHUNGARY"
HMA,"Air Tahoma","TAHOMA"
HMT,"Air Nova","HAMILTON"
HOM,"Aero Homex","AERO HOMEX"
HPO,"Almiron Aviation","ALMIRON"
HQO,"Avinor",""
HYR,"Airlink Airways","HIGHFLYER"
HZT,"Air Horizon","HORIZON TOGO"
ICM,"Air Inter Cameroun","INTER-CAMEROUN"
IFI,"Air Lift","HELLAS LIFT"
IKM,"Aero Survey","EASY SHUTTLE"
ILK,"Aero Airline","ILEK"
IME,"Airtime Charters","AIRTIME"
IMN,"Aerotaxis Cimarron","TAXI CIMARRON"
INA,"Aero Internacional","AERO-NACIONAL"
ING,"Aeroingenieria","AEROINGE"
INO,"Aeroservicios Intergrados de Norte","INTENOR"
IPL,"Airpull Aviation","IPULL"
IRD,"Arvand Airlines","ARVAND"
IRH,"Atlas Aviation Group","ATLAS AVIA"
IRW,"Aram Airline","ARAM"
IRX,"Aria Tour","ARIA"
ITE,"Aerotaxi S.R.O.","AEROTAXI"
ITF,"Avita-Servicos Aéreos","AIR AVITA"
ITI,"AirSwift","AIRSWIFT"
ITO,"Aero Citro","AERO CITRO"
IVE,"Air Executive","COMPANY EXEC"
IWS,"Aviainvest",""
JAB,"Air Bagan","AIR BAGAN"
JAD,"Aerojal","AEROJAL"
JAR,"Airlink","AIRLINK"
JEE,"Ambjek Air Services","AMBJEK AIR"
JKH,"JETKONTOR AG","JETKONTOR"
UTX,"Avfinity",""
JMR,"Alexandair","ALEXANDAIR"
JMX,"Air Jamaica Express","JAMAICA EXPRESS"
JOA,"Air Swift Aviation",""
JOB,"Aerojobeni","JOBENI"
JOL,"Atyrau Air Ways","EDIL"
JPR,"Aerosmith Aviation","JASPER"
JTS,"Arrendamiento de Aviones Jets","AVIONESJETS"
JUA,"Aero Juarez","JUAREZ"
JZA,"Air Canada Jazz","JAZZ"
KAA,"Asia Aero Survey and Consulting Engineers","AASCO"
KAD,"Air Kirovograd","AIR KIROVOGRAD"
KAM,"Air Mach","ICO-AIR"
KAV,"Air Kufra","AIRKUFRA"
KEK,"Arkhabay","ARKHABAY"
KFK,"Aero Charter Krifka","KRIFKA AIR"
KFT,"Air Kraft Mir","AIR KRAFT MIR"
KGD,"Air Concorde","CONCORDE AIR"
KHH,"Alexandria Airlines",""
KIE,"Afit","TWEETY"
KKB,"Air South","KHAKI BLUE"
KKK,"Atlasjet","ATLASJET"
KLB,"Air Mali International","TRANS MALI"
KLZ,"Aerokaluz","AEROKALUZ"
KOR,"Air Koryo","AIR KORYO"
KOY,"Araiavia","ALEKS"
KRE,"AeroSucre","AEROSUCRE"
KRT,"Air Kokshetau","KOKTA"
KSI,"Air Kissari","KISSARI"
KTN,"Aeronavigaciya","AERONAVIGACIYA"
KVR,"Alliance Avia","KAVAIR"
KYC,"Av Atlantic","DOLPHIN"
KZR,"Air Astana","ASTANALINE"
LAG,"Aviation Legacy","AVILEG"
LBC,"Albanian Airlines","ALBANIAN"
LBI,"Albisa","ALBISA"
LBW,"Albatros Airways","ALBANWAYS"
LDG,"Aerolíneas Aéreas Ejecutivas De Durango","DURANGO"
BOX,"Aerologic","GERMAN CARGO"
LDN,"Al-Donas Airlines","ALDONAS AIR"
AKJ,"Akasa Air","AKASA AIR"
LDR,"Aero Lider","AEROLIDER"
LEM,"Aleem",""
LET,"Aerolíneas Ejecutivas","MEXEJECUTIV"
LFA,"Air Alfa","AIR ALFA"
LFC,"Aero Control Air","LIFE FLIGHT CANADA"
LGN,"Aerolaguna","AEROLAGUNA"
LHR,"Al Ahram Aviation","AL AHRAM"
LID,"Alidaunia","ALIDA"
LIE,"Al-Dawood Air","AL-DAWOOD AIR"
LKP,"American Aviation","LAKE POWELL"
LKS,"Airlink Solutions","AIRLIN"
LKY,"Air Solutions","LUCKY"
LLR,"Air India Regional","ALLIED"
LMA,"Aerolima","AEROLIMA"
LML,"Alamia Air","ALAMIA AIR"
LMP,"Air Plus Argentina","AIR FLIGHT"
LMT,"Almaty Aviation","ALMATY"
LMX,"Aerolíneas Mexicanas J S","LINEAS MEXICANAS"
LMY,"Air Almaty","AGLEB"
LMZ,"Air Almaty ZK","ALUNK"
LNK,"Airlink","LINK"
LNT,"Aerolíneas Internacionales","LINEAINT"
LOK,"Alok Air","ALOK AIR"
LOU,"Air Saint Louis","AIR SAINTLOUIS"
LPA,"Air Leap","LEAP"
LPC,"Alpine Aviation","NETSTAR"
LPV,"Air Alps Aviation","ALPAV"
LRO,"Alrosa-Avia","ALROSA"
LRW,"Al Rida Airways","AL RIDA"
LSK,"Aurela","AURELA"
LSM,"Aerobusinessservice",""
LSR,"Alsair","ALSAIR"
LTI,"Aerotaxis Latinoamericanos","LATINO"
LUC,"Albinati Aeronautics","ALBINATI"
LUR,"Atlantis European Airways","ATLANTIS"
LVN,"Aliven","ALIVEN"
LVR,"Aviavilsa","AVIAVILSA"
LXG,"Air Luxor GB","LUXOR GOLF"
LXR,"Air Luxor","AIRLUXOR"
LYT,"Apatas Air","APATAS"
LZP,"Air Ban","DOC AIR"
LZR,"Air Lazur","LAZUR BEE-GEE"
MAM,"Aeródromo De La Mancha","AEROMAN"
MAU,"Air Mauritius","AIRMAURITIUS"
MBA,"Avag Air","AVAG AIR"
MBB,"Air Manas","AIR MANAS"
MBC,"Airjet Exploração Aérea de Carga","MABECO"
MBV,"Aeriantur-M","AEREM"
